id,candidate_id,pair,direction,opened_at,position_size_pct,sizing_mode,balance_at_entry,stop_pips,status,closed_at,net_pips,dollars,balance_after
1,3,AUD/NZD,SELL,2026-09-03 12:14:26,1.0,normal,10000.0,75.0,CLOSED,2026-09-03 12:31:19,-80.4,-107.2,9892.8
2,4,GBP/CAD,BUY,2026-09-04 05:17:04,1.0,normal,9892.8,81.0,CLOSED,2026-09-18 05:31:20,30.7,37.49,8885.21
3,13,EUR/JPY,BUY,2026-09-07 05:19:39,1.0,normal,9892.8,143.2,CLOSED,2026-09-07 08:31:15,-147.0,-101.55,9791.25
4,14,EUR/AUD,BUY,2026-09-07 05:19:39,1.0,normal,9892.8,79.0,CLOSED,2026-09-21 05:31:22,-47.4,-59.36,8923.12
5,8,AUD/NZD,SELL,2026-09-07 11:18:37,1.0,normal,9791.25,77.0,CLOSED,2026-09-16 00:31:20,-160.5,-204.09,8949.7
6,17,EUR/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9791.25,142.8,CLOSED,2026-09-07 14:31:33,-146.8,-100.66,9690.59
7,18,USD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9791.25,163.0,CLOSED,2026-09-07 23:31:57,-164.5,-98.81,9489.91
8,19,CAD/JPY,BUY,2026-09-07 13:42:05,1.0,normal,9791.25,99.0,CLOSED,2026-09-07 14:31:33,-103.0,-101.87,9588.72
9,20,EUR/AUD,BUY,2026-09-07 13:42:05,1.0,normal,9791.25,79.0,CLOSED,2026-09-21 14:31:32,-55.8,-69.16,8853.96
10,21,AUD/NZD,SELL,2026-09-07 13:42:05,1.0,normal,9791.25,154.0,CLOSED,2026-09-16 00:31:20,-160.4,-101.98,8847.72
11,25,CHF/JPY,BUY,2026-09-08 05:18:55,0.5,drawdown_protection,9489.91,289.0,CLOSED,2026-09-08 05:31:20,-293.0,-48.11,9441.8
12,28,USD/JPY,BUY,2026-09-08 12:18:20,0.5,drawdown_protection,9441.8,88.6,CLOSED,2026-09-09 02:31:41,-89.7,-47.8,9394.0
