id,candidate_id,book_id,pair,direction,reason,recorded_at,status,settled_at
1,12,A_control,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
2,12,B_conf6_rr15,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
3,12,C_grade_based,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
4,12,D_no_da,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
5,12,E_no_dd_gate,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
6,12,F_sentiment_only,AUD/CHF,SELL,eligibility,2026-09-07 05:19:39,PENDING,
7,13,F_sentiment_only,EUR/JPY,BUY,eligibility,2026-09-07 05:19:39,SETTLED,2026-09-07 08:31:15
8,14,F_sentiment_only,EUR/AUD,BUY,eligibility,2026-09-07 05:19:39,PENDING,
9,11,A_control,GBP/CAD,BUY,eligibility,2026-09-07 05:19:39,PENDING,
10,11,C_grade_based,GBP/CAD,BUY,eligibility,2026-09-07 05:19:39,PENDING,
11,11,E_no_dd_gate,GBP/CAD,BUY,eligibility,2026-09-07 05:19:39,PENDING,
12,11,F_sentiment_only,GBP/CAD,BUY,eligibility,2026-09-07 05:19:39,PENDING,
16,8,F_sentiment_only,AUD/NZD,SELL,eligibility,2026-09-07 05:19:39,PENDING,
17,15,A_control,NZD/JPY,BUY,eligibility,2026-09-07 11:18:36,SETTLED,2026-09-07 21:01:36
18,15,C_grade_based,NZD/JPY,BUY,eligibility,2026-09-07 11:18:36,SETTLED,2026-09-07 21:01:36
19,15,E_no_dd_gate,NZD/JPY,BUY,eligibility,2026-09-07 11:18:36,SETTLED,2026-09-07 21:01:36
20,15,F_sentiment_only,NZD/JPY,BUY,eligibility,2026-09-07 11:18:36,SETTLED,2026-09-07 21:01:36
21,16,A_control,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
22,16,B_conf6_rr15,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
23,16,C_grade_based,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
24,16,D_no_da,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
25,16,E_no_dd_gate,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
26,16,F_sentiment_only,GBP/AUD,BUY,eligibility,2026-09-07 11:18:37,PENDING,
27,17,F_sentiment_only,EUR/JPY,BUY,eligibility,2026-09-07 13:42:05,SETTLED,2026-09-07 14:31:33
28,18,F_sentiment_only,USD/JPY,BUY,eligibility,2026-09-07 13:42:05,SETTLED,2026-09-07 23:31:57
29,19,F_sentiment_only,CAD/JPY,BUY,eligibility,2026-09-07 13:42:05,SETTLED,2026-09-07 14:31:33
30,20,F_sentiment_only,EUR/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
31,21,F_sentiment_only,AUD/NZD,SELL,eligibility,2026-09-07 13:42:05,PENDING,
32,22,A_control,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
33,22,B_conf6_rr15,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
34,22,C_grade_based,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
35,22,D_no_da,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
36,22,E_no_dd_gate,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
37,22,F_sentiment_only,GBP/AUD,BUY,eligibility,2026-09-07 13:42:05,PENDING,
38,23,A_control,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
39,23,B_conf6_rr15,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
40,23,C_grade_based,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
41,23,D_no_da,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
42,23,E_no_dd_gate,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
43,23,F_sentiment_only,AUD/CHF,SELL,eligibility,2026-09-08 05:18:55,PENDING,
44,24,A_control,GBP/JPY,BUY,sizing,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
45,24,B_conf6_rr15,GBP/JPY,BUY,sizing,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
46,24,C_grade_based,GBP/JPY,BUY,sizing,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
47,24,D_no_da,GBP/JPY,BUY,sizing,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
48,24,E_no_dd_gate,GBP/JPY,BUY,sizing,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
49,24,F_sentiment_only,GBP/JPY,BUY,eligibility,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
50,25,F_sentiment_only,CHF/JPY,BUY,eligibility,2026-09-08 05:18:55,SETTLED,2026-09-08 05:31:20
51,26,A_control,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
52,26,B_conf6_rr15,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
53,26,C_grade_based,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
54,26,D_no_da,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
55,26,E_no_dd_gate,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
56,26,F_sentiment_only,AUD/CAD,SELL,eligibility,2026-09-08 11:20:07,SETTLED,2026-09-10 16:01:39
57,27,A_control,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
58,27,B_conf6_rr15,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
59,27,C_grade_based,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
60,27,D_no_da,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
61,27,E_no_dd_gate,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
62,27,F_sentiment_only,AUD/CHF,SELL,eligibility,2026-09-08 12:18:20,PENDING,
63,28,A_control,USD/JPY,BUY,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 02:31:41
64,28,B_conf6_rr15,USD/JPY,BUY,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 02:31:41
65,28,C_grade_based,USD/JPY,BUY,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 02:31:41
66,28,F_sentiment_only,USD/JPY,BUY,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 02:31:41
67,29,A_control,EUR/AUD,BUY,eligibility,2026-09-08 12:18:20,PENDING,
68,29,B_conf6_rr15,EUR/AUD,BUY,eligibility,2026-09-08 12:18:20,PENDING,
69,29,C_grade_based,EUR/AUD,BUY,eligibility,2026-09-08 12:18:20,PENDING,
72,29,F_sentiment_only,EUR/AUD,BUY,eligibility,2026-09-08 12:18:20,PENDING,
73,30,A_control,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
74,30,B_conf6_rr15,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
75,30,C_grade_based,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
76,30,D_no_da,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
77,30,E_no_dd_gate,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
78,30,F_sentiment_only,AUD/CAD,SELL,eligibility,2026-09-08 12:18:20,PENDING,
79,31,A_control,AUD/NZD,SELL,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 21:01:41
80,31,B_conf6_rr15,AUD/NZD,SELL,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 21:01:41
81,31,C_grade_based,AUD/NZD,SELL,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 21:01:41
82,31,F_sentiment_only,AUD/NZD,SELL,eligibility,2026-09-08 12:18:20,SETTLED,2026-09-09 21:01:41
83,32,A_control,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
84,32,B_conf6_rr15,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
85,32,C_grade_based,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
86,32,D_no_da,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
87,32,E_no_dd_gate,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
88,32,F_sentiment_only,GBP/JPY,BUY,eligibility,2026-09-08 18:22:24,SETTLED,2026-09-09 02:31:41
89,33,A_control,AUD/USD,SELL,eligibility,2026-09-08 18:22:24,PENDING,
90,33,B_conf6_rr15,AUD/USD,SELL,eligibility,2026-09-08 18:22:24,PENDING,
